stop_id,stop_name,stop_lat,stop_lon,operator
1001828,PJ445 LRT TAMAN JAYA,3.103876,101.644993,rapidbus_kl
1006035,PJ84 PJ WALK,3.100201666,101.6452966,rapidbus_kl
1001979,PJ434 DEWAN SIVIK MBPJ,3.098113,101.645854,rapidbus_kl
1006036,PJ757 WISMA IEM,3.098985,101.646956,rapidbus_kl
1006206,PJ451 WISMA PERKESO,3.094789,101.646736,rapidbus_kl
1003674,PJ452 KOMPLEKS ARENA PJ,3.092533,101.645975,rapidbus_kl
1002425,PJ453 PERPUSTAKAAN KOMUNITI PJ,3.0908059472778,101.64604883686,rapidbus_kl
1003891,(M) PJ469 TERMINAL BAS,3.087051,101.647131,rapidbus_kl
1001844,PJ455 MAHKAMAH SYARIAH,3.086795,101.650753,rapidbus_kl
1001000,PJ411 APT INAI COURT (OPP),3.085194,101.654585,rapidbus_kl
1000942,PJ737 FLAT TAMAN PERANSANG,3.0814378714851,101.64831904603,rapidbus_kl
1000528,PJ739 TAMAN DATO HARUN,3.083589507932,101.63527896574,rapidbus_kl
1003570,PJ741 DESA MENTARI FASA 4 (UTARA),3.0843778280735,101.62811647765,rapidbus_kl
1000840,PJ145 GERAI PJS 2C,3.081736,101.627329,rapidbus_kl
1003149,PJ742 PJ SOUTH CITY,3.079994,101.627322,rapidbus_kl
1002339,PJ147 PJCC,3.077964,101.627341,rapidbus_kl
1002272,PJ148 PJS 4 (BARAT),3.0766227551742,101.62790886161,rapidbus_kl
1001765,PJ149 PJS 4 (TIMUR),3.076324,101.629378,rapidbus_kl
1006037,PJ137 TERMINAL TAMAN MEDAN,3.075537,101.633102,rapidbus_kl
1002554,PJ138 PJS 4 (TIMUR),3.076043,101.629572,rapidbus_kl
1003446,PJ139 PJS 4 (BARAT),3.0763448090071,101.62789897956,rapidbus_kl
1002851,PJ140 PJCC,3.078428,101.627186,rapidbus_kl
1000839,PJ141 PJ SOUTH CITY,3.080845,101.627209,rapidbus_kl
1003745,PJ143 SURAU MADRASATUL IMANIYA,3.083289,101.627176,rapidbus_kl
1003075,PJ730 FLAT DESA MENTARI,3.084916,101.627607,rapidbus_kl
1003685,PJ731 KTM KG DATO HARUN (UTARA),3.084208,101.633581,rapidbus_kl
1002254,PJ733 TAMAN MAJU JAYA,3.0831545080372,101.64062877884,rapidbus_kl
1000943,PJ734 TAMAN PETALING UTAMA,3.081794,101.649809,rapidbus_kl
1000999,PJ412 APT INAI COURT,3.085098,101.654377,rapidbus_kl
1004161,PJ413 UITM PJ (OPP),3.086949,101.652272,rapidbus_kl
1001981,PJ415 TERMINAL BAS (OPP),3.086895,101.646789,rapidbus_kl
1006205,PJ456 PERPUSTAKAAN KOMUNITI PJ (OPP),3.090344,101.64598,rapidbus_kl
1006033,PJ460 KOMPLEKS ARENA PJ (OPP),3.09203,101.6455333,rapidbus_kl
1006034,PJ432 WISMA PERKESO (OPP),3.095074,101.646502,rapidbus_kl
1001509,PJ435 WISMA MCIS,3.101044,101.641252,rapidbus_kl
1001785,PJ437 LRT ASIA JAYA,3.1038828935882,101.63914593158,rapidbus_kl
1003320,PJ439 SK SRI PETALING (OPP),3.108625,101.639152,rapidbus_kl
1000484,PJ278 DIGITAL MALL SEKSYEN 14,3.110474,101.636336,rapidbus_kl
1005034,PJ302 QUILL 9,3.114216,101.632624,rapidbus_kl
1000944,PJ210 HOTEL LISA DE INN,3.118249,101.630639,rapidbus_kl
1003538,PJ211 FLAT SEKSYEN 17 (SELATAN),3.118937,101.633375,rapidbus_kl
1004190,PJ212 JAYA ONE MALL (OPP),3.118939,101.635496,rapidbus_kl
1002675,PJ237 PUSAT ASASI UIA (SELATAN),3.118802,101.639562,rapidbus_kl
1001955,PJ238 MASJID KOLEJ ISLAM,3.118732,101.640579,rapidbus_kl
